ProbeName	Harvest	Module	Phase	22.3	0.5	2.3	4.1	5.9	7.7	9.5	11.3	13.4	15.6	17.9	20.1
GS1_SS_00084_18450	C2	l1_cornflowerblue_01	1	0.4733	0.4631	0.6524	-0.0948	-1.3679	-1.0507	-1.2493	-1.2065	-1.2465	0.2311	0.6569	0.8425
GS1_SS_00089_09220	C2	l1_coral4_01	15	0.022	-0.1511	-1.1	-2.1938	-1.5711	-0.2469	0.5145	0.7747	1.2816	1.3305	0.9263	0.4164
GS1_SS_00090_17329	C2	l1_darkviolet_02	13	-0.5728	-1.6243	-1.0028	-0.6983	-0.1745	0.4307	1.1866	1.0724	1.771	0.2499	1.1554	-0.0532
GS1_SS_00094_20065	C2	l1_cornflowerblue_01	1	0.4767	0.2843	1.6312	1.0159	-0.8867	-0.5424	-0.1385	-0.5233	-2.0697	-1.0435	-0.5772	0.0947
GS1_SS_00096_09570	C2	l1_cornflowerblue_02	11	-0.9669	-1.4512	-1.1615	-0.2201	0.5955	1.3813	1.6148	1.524	0.6583	0.33	-0.0722	-0.4756
GS1_SS_00101_20807	C2	l1_lightskyblue4_02	23	0.6784	0.1931	0.1483	-1.0469	-1.9568	-1.7181	-1.1272	0.3566	0.5568	1.0985	1.3807	0.715
GS1_SS_00102_14702	C2	l1_blue1_01	9	-0.9117	-1.5549	-1.3079	0.0737	1.0025	1.3684	1.4245	1.212	0.6984	0.2837	0.0881	-0.5175
GS1_SS_00114_09277	C2	l1_lightskyblue4_02	23	0.3217	0.0468	0.1724	-0.3288	-1.2136	-2.036	-1.6105	0.0077	1.0806	1.4028	1.4227	0.5705
GS1_SS_00121_19999	C2	l1_cornflowerblue_01	1	0.4926	1.034	0.3639	-0.1423	-1.384	-1.6232	-1.1225	-0.6163	-0.7517	-0.2243	-0.0276	0.882
GS1_SS_00125_11304	C2	l1_darkviolet_02	13	-0.4946	-0.5458	-1.6679	-1.2712	-0.9155	0.7827	1.2446	1.6625	1.0045	0.8574	0.3307	0.4416
GS1_SS_00133_18900	C2	l1_antiquewhite4_01	15	1.4312	0.4368	0.3402	0.1193	-1.6711	-2.1606	-1.0824	-0.1526	0.8094	0.7684	1.2912	0.1475
GS1_SS_00136_07237	C2	l1_darkviolet_01	3	0.9648	0.8658	0.787	1.7095	1.0444	-0.0069	-1.1839	-2.0752	-0.9413	-0.8573	-0.489	-0.1825
GS1_SS_00137_14312	C2	l1_darkviolet_02	13	-0.0954	-1.2602	-1.0961	-1.2556	0.2232	-0.441	0.4088	1.3446	0.5986	1.2219	1.0224	0.889
GS1_SS_00138_18549	C2	l1_darkviolet_01	3	0.6792	1.3787	1.4761	1.3058	0.6392	-0.3456	-1.5287	-1.7781	-0.5363	-0.6924	-0.3538	-0.6082
GS1_SS_00141_15755	C2	l1_lightskyblue4_02	23	0.2733	0.4296	-1.246	-2.0995	-1.3506	-0.8221	-0.2272	-0.1522	0.1674	0.9018	0.757	1.2006
GS1_SS_00150_11144	C2	l1_coral4_01	15	0.5679	0.1483	-0.9501	-1.3388	-1.9257	-0.2549	0.8454	1.354	1.6005	0.944	0.4744	-0.084
GS1_SS_00154_16809	C2	l1_darkviolet_02	13	0.3095	-0.4466	-0.7222	-0.8546	-2.5272	-0.4776	0.7442	1.8563	0.1637	0.2339	0.3831	1.1225
GS1_SS_00155_19594	C2	l1_lavender_02	13	0.2576	-0.413	-1.0346	-2.7133	-0.9871	-0.2697	0.5641	0.9828	1.0992	0.8367	0.7249	0.5027
GS1_SS_00158_13733	C2	l1_darkviolet_02	13	0.2773	-1.1958	-0.9171	-1.7795	-1.6336	-0.2347	0.7331	1.493	-0.148	0.2553	0.6418	0.9667
GS1_SS_00161_20790	C2	l1_antiquewhite2_02	7	-0.2592	-0.4498	1.5947	1.0548	1.404	1.2441	0.8795	-0.0258	-1.0243	-1.5745	-1.0525	-0.7684
GS1_SS_00166_14818	C2	l1_cornflowerblue_01	1	0.9727	0.4906	1.0042	0.9429	-0.728	-2.1917	-1.8687	-0.5934	0.0602	0.1555	-0.244	0.2084
GS1_SS_00173_02848	C2	l1_coral4_02	5	0.2637	-0.0394	1.0335	1.8327	2.0024	0.6242	-0.1915	-1.4278	-0.6178	-0.983	-0.6086	-0.8981
GS1_SS_00174_21558	C2	l1_blue1_01	9	-1.0994	-1.2485	-1.2122	1.1479	1.3394	1.0048	1.3233	1.1338	0.4288	-0.0715	-0.2996	-0.3649
GS1_SS_00176_04703	C2	l1_lavender_01	3	0.2883	-0.5391	0.5914	1.7295	1.0731	-1.0924	-0.2652	-2.2234	-1.2722	-0.3477	0.7632	0.2784
GS1_SS_00179_05530	C2	l1_darkviolet_01	3	0.8924	0.5261	0.8837	1.5528	0.9825	-0.2343	-0.9077	-2.517	-0.4596	-0.7005	-0.7473	-0.018
GS1_SS_00180_12338	C2	l1_darkviolet_02	13	0.3099	-2.2447	-1.2954	-1.3194	-0.3366	0.7012	0.888	0.8256	1.2536	0.5247	0.7682	0.6319
GS1_SS_00184_14092	C2	l1_cornflowerblue_02	11	-0.5561	-0.866	-1.3189	-0.3742	0.9441	1.6031	1.4226	1.2591	1.0067	0.17	-0.7127	-0.4709
GS1_SS_00188_11083	C2	l1_lavender_02	13	0.0304	0.1766	-1.332	-1.7851	-0.7282	0.6305	0.7094	1.1341	1.213	1.3789	0.7087	-0.3306
GS1_SS_00190_10768	C2	l1_darkviolet_01	3	0.4858	0.9046	1.181	1.1118	0.8698	0.0565	-1.1051	-1.7022	-1.2634	-1.3448	-0.6157	-0.3054
GS1_SS_00200_10056	C2	l1_darkviolet_01	3	0.1834	1.2245	0.9806	2.4997	-0.1654	-0.728	-0.9064	-1.3426	-0.2472	-0.7434	-0.8547	-0.6207
GS1_SS_00203_15232	C2	l1_blue1_01	9	-0.7098	-0.7423	-0.5378	0.5834	1.4391	1.319	1.1632	0.723	0.8187	0.3075	-0.1862	-1.3688
GS1_SS_00209_06867	C2	l1_cornflowerblue_01	1	0.6418	0.8112	1.0713	0.5128	-1.7264	-1.8	-1.0469	-0.6148	-0.3613	0.1458	0.2556	-0.4349
GS1_SS_00220_03417	C2	l1_cornflowerblue_01	1	-0.1433	0.6851	1.348	-0.599	-1.4503	-1.558	-0.2197	-0.2962	-0.6588	-0.7283	-0.2823	1.3202
GS1_SS_00223_15807	C2	l1_darkviolet_01	3	-0.0137	0.5234	1.6567	1.0879	0.3315	-0.7443	-0.3171	-1.0043	-1.0181	-1.6091	-1.109	-0.2389
GS1_SS_00224_02692	C2	l1_lavender_02	13	-0.3136	-0.8583	-0.6687	-1.2954	-1.6827	0.2425	1.1067	1.9331	1.1295	0.8628	0.5076	-0.0792
GS1_SS_00238_12178	C2	l1_blue1_01	9	-1.3674	-0.8735	-1.3806	0.8689	1.3999	1.3224	1.0783	1.1954	0.2686	-0.1924	-0.2938	-0.4429
GS1_SS_00240_19339	C2	l1_lavender_01	3	1.0298	-0.0443	0.5705	2.0301	1.1366	-1.25	-1.687	-1.3398	-0.7224	-0.3626	0.1434	0.2558
GS1_SS_00241_19560	C2	l1_antiquewhite2_01	19	0.6631	1.208	-0.5227	-1.8195	-2.1765	-1.0404	-0.0184	0.9548	0.6896	0.703	0.5119	0.5859
GS1_SS_00243_02760	C2	l1_cornflowerblue_01	1	0.786	0.2546	1.0677	0.4614	-0.0376	-0.8463	-1.0295	-1.4839	-1.6184	-0.8556	-0.3246	1.0468
GS1_SS_00248_20496	C2	l1_darkviolet_01	3	0.8144	1.3899	1.865	0.8726	0.9491	0.0068	-1.0596	-1.5164	-1.0436	-1.0402	-0.6806	-0.2169
GS1_SS_00249_14079	C2	l1_darkviolet_01	3	0.5598	0.2971	1.6522	1.5795	1.0377	0.0092	-1.0319	-2.0964	-0.9683	-0.721	-0.0598	0.3065
GS1_SS_00251_00031	C2	l1_antiquewhite4_02	7	0.1321	0.3218	0.1164	0.515	2.2654	0.807	0.3765	-1.824	-1.8805	-0.6288	-0.501	0.055
GS1_SS_00254_17418	C2	l1_cornflowerblue_02	11	-0.5521	-0.8795	-1.0491	-0.7894	0.8801	1.5809	1.6968	1.107	0.7845	0.3159	-0.171	-0.6666
GS1_SS_00256_13873	C2	l1_blue1_01	9	-0.5047	-0.7012	-0.4521	0.6712	0.6349	1.5858	1.5007	1.5206	0.3532	-0.5118	-0.4856	-0.9089
GS1_SS_00267_06013	C2	l1_lavender_01	3	0.9466	0.5242	1.0422	1.3102	0.0029	-0.6625	-1.3785	-1.9821	-0.6465	-0.5233	0.0521	1.675
GS1_SS_00268_14291	C2	l1_cornflowerblue_01	1	0.8038	-0.3094	0.2933	0.4571	0.8932	-0.6013	-0.8724	-1.7221	-1.9817	-0.5926	0.4221	1.1149
GS1_SS_00270_03274	C2	l1_blue1_02	1	1.2393	0.4466	1.0721	-0.5751	-1.8852	-0.9133	-1.3171	-1.2185	-0.2356	0.2268	0.3987	0.5688
GS1_SS_00271_17715	C2	l1_darkviolet_01	3	0.3984	-0.2234	1.1925	0.7985	1.8207	0.6474	0.4159	-1.086	-1.4465	-1.5227	-0.9758	-0.7073
GS1_SS_00272_17699	C2	l1_coral4_01	15	-0.088	-0.2769	-0.7159	-1.6167	-2.1426	-0.6198	-0.5105	0.9123	0.907	1.2117	0.6447	0.3864
GS1_SS_00273_10095	C2	l1_lavender_02	13	-0.3558	-0.9555	-1.2853	-2.044	-0.4229	0.8796	1.3086	1.5152	1.1079	0.7565	0.2997	-0.2043
GS1_SS_00276_04878	C2	l1_cornflowerblue_01	1	1.0406	0.807	0.8932	1.1676	0.0017	-1.0798	-1.8622	-1.2362	-1.0662	-0.7496	-0.3352	0.4873
GS1_SS_00277_09034	C2	l1_lightskyblue4_01	7	-1.115	-1.0411	0.0115	0.921	1.9996	1.7128	1.1416	0.1186	-0.4878	-0.8766	-0.4559	-0.3654
GS1_SS_00280_04396	C2	l1_cornflowerblue_01	1	0.8784	0.6195	0.12	-0.9385	-1.9926	-1.6408	0.4934	0.048	-1.0072	-0.3729	0.8817	0.7755
GS1_SS_00281_11022	C2	l1_coral4_01	15	-0.1455	-1.0553	-1.4634	-1.7549	-1.6063	0.4243	0.5544	0.6761	0.764	1.15	1.142	0.4481
GS1_SS_00282_09270	C2	l1_cornflowerblue_01	1	0.1328	1.3455	0.3479	-0.0651	-2.1032	-1.7107	-0.3882	-0.2515	-0.592	-0.3817	0.2845	1.2215
GS1_SS_00283_19610	C2	l1_lavender_02	13	0.1207	-0.6353	-1.1149	-0.8922	-1.1034	0.5743	1.5628	1.7712	1.5229	0.2925	-0.2014	-0.1814
GS1_SS_00287_15114	C2	l1_cornflowerblue_01	1	0.6103	0.0994	0.971	-0.1378	-0.8978	-1.918	-0.6387	-1.2667	-0.6763	-0.4511	0.488	1.7315
GS1_SS_00288_08605	C2	l1_cornflowerblue_02	11	-0.9896	-0.1112	-1.4594	-0.4173	-0.1937	1.2561	1.4904	1.8253	0.0149	0.0768	0.646	0.3155
GS1_SS_00292_13707	C2	l1_blue1_02	1	1.1166	1.0212	1.0507	0.1049	-1.5287	-1.6972	-1.2631	-0.899	-0.7658	0.0067	0.2988	1.1367
GS1_SS_00296_18314	C2	l1_cornflowerblue_02	11	-0.5655	-1.071	-0.9205	-0.1996	1.1856	1.8134	1.0505	1.4904	0.5478	0.066	-0.3063	-0.8703
GS1_SS_00304_06316	C2	l1_lightskyblue4_01	7	0.0092	0.1278	-0.0863	1.0062	2.3228	1.2162	0.4962	-0.4006	0.3462	-0.7444	-0.737	-0.7797
